,Name,Ranking,A_Type,B_Type,Date,Country
168,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['12.', 'Februar', '2020']",
169,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['12.', 'Februar', '2020']",Königreich
170,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['12.', 'Februar', '2020']",Deutschland
171,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['12.', 'Februar', '2020']",Dänemark
172,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['12.', 'Februar', '2020']",
173,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['11.', 'Februar', '2020']",Schweden
174,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['11.', 'Februar', '2020']",Niederlande
175,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['10.', 'Februar', '2020']",Oregon
176,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['10.', 'Februar', '2020']",Königreich
177,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['10.', 'Februar', '2020']",Deutschland
178,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['9.', 'Februar', '2020']",Mexiko
179,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['9.', 'Februar', '2020']",Italien
180,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['9.', 'Februar', '2020']",
181,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['9.', 'Februar', '2020']",Frankreich
182,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['9.', 'Februar', '2020']",
183,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['9.', 'Februar', '2020']",Deutschland
184,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['8.', 'Februar', '2020']",Ohio
185,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['8.', 'Februar', '2020']",Schweden
186,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['7.', 'Februar', '2020']",
187,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['7.', 'Februar', '2020']",
188,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['7.', 'Februar', '2020']",Deutschland
189,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['6.', 'Februar', '2020']",Deutschland
190,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['6.', 'Februar', '2020']",
191,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['6.', 'Februar', '2020']",
192,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['6.', 'Februar', '2020']",
193,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['6.', 'Februar', '2020']",Bietigheim-Bissingen
194,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['6.', 'Februar', '2020']",
195,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['6.', 'Februar', '2020']",Deutschland
196,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['6.', 'Februar', '2020']",Königreich
197,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['6.', 'Februar', '2020']",
198,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['5.', 'Februar', '2020']",Germany
199,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['5.', 'Februar', '2020']",
200,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['4.', 'Februar', '2020']",
201,Miniatur Wunderland,1,museen,"Spezialmuseen, Wahrzeichen & Sehenswürdigkeiten","['4.', 'Februar', '2020']",
